#
# General information about english verbs
#   https://en.oxforddictionaries.com/spelling/verb-tenses-adding-ed-and-ing
#

#
# Word ending to "A"
#  -ed
#  -s
#  -ing
#
clapboard 1 1
cloud 1 1
command 1 1
commend 1 1
compound 1 1
comprehend 1 1
concord 1 1
condescend 1 1
contend 1 1
cord 1 1
correspond 1 1
countermand 1 1
crossbreed 1 1
crowd 1 1
cuckold 1 1
defend 1 1
defraud 1 1
demand 1 1
depend 1 1
descend 1 1
despond 1 1
disband 1 1
discard 1 1
discord 1 1
disregard 1 1
distend 1 1
download 1 1
dread 1 1
end 1 1
enfold 1 1
exceed 1 1
expand 1 1
expend 1 1
expound 1 1
extend 1 1
fend 1 1
feud 1 1
field 1 1
flood 1 1
fold 1 1
ford 1 1
foreground 1 1
forward 1 1
found 1 1
freeload 1 1
friend 1 1
fund 1 1
garland 1 1
goad 1 1
grandstand 1 1
ground 1 1
guard 1 1
hand 1 1
hazard 1 1
head 1 1
heed 1 1
herald 1 1
herd 1 1
hoard 1 1
homestead 1 1
hood 1 1
hound 1 1
hyperextend 1 1
impend 1 1
impound 1 1
intend 1 1
interdepend 1 1
invalid 1 1
land 1 1
lard 1 1
laud 1 1
lipread 1 1
load 1 1
lord 1 1
manifold 1 1
maraud 1 1
mastermind 1 1
meld 1 1
mend 1 1
mind 1 1
misapprehend 1 1
mold 1 1
mould 1 1
mound 1 1
need 1 1
offend 1 1
overcrowd 1 1
overload 1 1
placard 1 1
plod 1 1
pollard 1 1
poniard 1 1
portend 1 1
pound 1 1
prehend 1 1
pretend 1 1
proceed 1 1
propound 1 1
pyramid 1 1
raid 1 1
railroad 1 1
rebound 1 1
recommend 1 1
record 1 1
refund 1 1
regard 1 1
remand 1 1
remind 1 1
reprehend 1 1
reprimand 1 1
rescind 1 1
resound 1 1
resplend 1 1
respond 1 1
resuspend 1 1
retard 1 1
retread 1 1
reward 1 1
reword 1 1
round 1 1
safeguard 1 1
sand 1 1
scaffold 1 1
scald 1 1
scold 1 1
second 1 1
seed 1 1
shepherd 1 1
shield 1 1
shroud 1 1
sightread 1 1
skateboard 1 1
snowboard 1 1
sound 1 1
spearhead 1 1
spot-weld 1 1
spotweld 1 1
starboard 1 1
succeed 1 1
superintend 1 1
surfboard 1 1
surround 1 1
suspend 1 1
tend 1 1
thread 1 1
transcend 1 1
trend 1 1
unbraid 1 1
unfold 1 1
unfriend 1 1
unload 1 1
upbraid 1 1
upend 1 1
upload 1 1
vagabond 1 1
vend 1 1
void 1 1
ward 1 1
weed 1 1
weekend 1 1
weld 1 1
word 1 1
wound 1 1
yield 1 1

bed 1 1 bedded beds bedding
bedded 1 6 bed
beds 1 9 bed
bedding 3 10 bed

bid 1 1 bidded bids bidding
bidded 1 6 bid
bids 1 9 bid
bidding 3 10 bid

bobsled 1 1 bobsledded bobsleds bobsledding
bobsledded 1 6 bobsled
bobsleds 1 9 bobsled
bobsledding 3 10 bobsled

brad 1 1 bradded brads bradding
bradded 1 6 brad
brads 1 9 brad
bradding 3 10 brad

bud 1 1 budded buds budding
budded 1 6 bud
buds 1 9 bud
budding 3 10 bud

cheerlead 1 1 cheerled cheerleads cheerleading
cheerled 1 6 cheerlead
cheerleads 1 9 cheerlead
cheerleading 3 10 cheerlead

copyread 1 7 copyreads copyreading
copyreads 1 9 copyread
copyreading 3 10 copyread

dogsled 1 1 dogsledded dogsleds dogsledding
dogsledded 1 6 dogsled
dogsleds 1 9 dogsled
dogsledding 3 10 dogsled

force-feed 1 1 force-fed force-feds force-feeding
force-fed 1 6 force-feed
force-feds 1 9 force-feed
force-feeding 3 10 force-feed

geld 1 1 gelt gelted gelds gelding
gelt 1 6 geld
gelted 1 6 geld
gelds 1 9 geld
gelding 3 10 geld

gild 1 1 gilt gilded gilds gilding
gilt 1 6 gild
gilded 1 6 gild
gilds 1 9 gild
gilding 3 10 gild

interbreed 1 1 interbred interbreeds interbreeding
interbred 1 6 interbreed
interbreeds 1 9 interbreed
interbreeding 3 10 interbreed

mislead 1 1 misled misleaded misleads misleading
misleaded 1 6 mislead
misled 1 6 mislead
misleads 1 9 mislead
misleading 3 10 mislead

