#
# Word ending to "F"
#  -ed
#  -s
#  -ing
#

twanged 1 6 twang
twanging 3 10 twang

unstring 1 1 unstrings unstrung unstringing
unstrings 1 9 unstring
unstrung 1 6 unstring
unstringing 3 10 unstring

whang 1 1 whangs whanged whanging
whangs 1 9 whang
whanged 1 6 whang
whanging 3 10 whang

wing 1 1 wings winged winging
wings 1 9 wing
winged 1 6 wing
winging 3 10 wing

wring 1 1 wrings wrang wrung wringing
wrings 1 9 wring
wrang 1 2 wring
wrung 1 6 wring
wringing 3 10 wring

wrong 1 1 wrongs wronged wronging
wrongs 1 9 wrong
wronged 1 6 wrong
wronging 3 10 wrong

#
# Word ending to "H"
#  -ed
#  -es
#  -ing
#

abolish 1 1
accomplish 1 1
admonish 1 1
airbrush 1 1
ambush 1 1
anguish 1 1
approach 1 1
arch 1 1
ash 1 1
astonish 1 1
attach 1 1
backlash 1 1
backstitch 1 1
banish 1 1
bash 1 1
batch 1 1
beach 1 1
belch 1 1
bench 1 1
bewitch 1 1
birch 1 1
birdwatch 1 1
bitch 1 1
blandish 1 1
bleach 1 1
blemish 1 1
blotch 1 1
blush 1 1
botch 1 1
branch 1 1
brandish 1 1
breach 1 1
brooch 1 1
brunch 1 1
brush 1 1
bunch 1 1
burnish 1 1
bush 1 1
cash 1 1
church 1 1
cinch 1 1
clash 1 1
clench 1 1
clinch 1 1
clutch 1 1
coach 1 1
contradistinguish 1 1
cosh 1 1
crash 1 1
crosshatch 1 1
crouch 1 1
crunch 1 1
crush 1 1
dash 1 1
debauch 1 1
demolish 1 1
despatch 1 1
detach 1 1
diminish 1 1
disestablish 1 1
dish 1 1
dispatch 1 1
distinguish 1 1
ditch 1 1
embellish 1 1
encroach 1 1
enrich 1 1
entrench 1 1
establish 1 1
etch 1 1
extinguish 1 1
finish 1 1
fish 1 1
flash 1 1
flinch 1 1
flourish 1 1
flush 1 1
furnish 1 1
garnish 1 1
gash 1 1
grouch 1 1
gush 1 1
handwash 1 1
hash 1 1
hatch 1 1
hemstitch 1 1
hitch 1 1
hush 1 1
impeach 1 1
impoverish 1 1
inch 1 1
itch 1 1
languish 1 1
lash 1 1
latch 1 1
launch 1 1
leach 1 1
leash 1 1
leech 1 1
lunch 1 1
lurch 1 1
lynch 1 1
malnourish 1 1
march 1 1
mash 1 1
match 1 1
mesh 1 1
mismatch 1 1
monish 1 1
mooch 1 1
mulch 1 1
munch 1 1
mush 1 1
nosh 1 1
notch 1 1
nourish 1 1
patch 1 1
perch 1 1
pinch 1 1
pitch 1 1
plash 1 1
poach 1 1
polish 1 1
pouch 1 1
preach 1 1
publish 1 1
punch 1 1
punish 1 1
push 1 1
quench 1 1
ranch 1 1
ravish 1 1
reach 1 1
refinish 1 1
refresh 1 1
refurbish 1 1
rehash 1 1
relinquish 1 1
relish 1 1
replenish 1 1
reproach 1 1
republish 1 1
research 1 1
retch 1 1
retrench 1 1
roach 1 1
rush 1 1
sandwich 1 1
scorch 1 1
scotch 1 1
scratch 1 1
screech 1 1
scrunch 1 1
search 1 1
sketch 1 1
skirmish 1 1
slash 1 1
slouch 1 1
smash 1 1
smirch 1 1
smooch 1 1
snitch 1 1
splash 1 1
splotch 1 1
squelch 1 1
starch 1 1
stash 1 1
stitch 1 1
stretch 1 1
swash 1 1
swish 1 1
switch 1 1
tarnish 1 1
thatch 1 1
thrash 1 1
thresh 1 1
torch 1 1
touch 1 1
trash 1 1
trench 1 1
twitch 1 1
undernourish 1 1
unhitch 1 1
unlash 1 1
vanish 1 1
vanquish 1 1
varnish 1 1
vouch 1 1
wash 1 1
watch 1 1
welsh 1 1
wench 1 1
whitewash 1 1
winch 1 1
wish 1 1
witch 1 1
wrench 1 1

# nonconformant verbs

autograph 1 1 autographs autographed autographing
autographs 1 9 autograph
autographed 1 6 autograph
autographing 3 10 autograph

bequeath 1 1 bequeaths bequeathed bequeathing
bequeaths 1 9 bequeath
bequeathed 1 6 bequeath
bequeathing 3 10 bequeath

berth 1 1 berths berthed berthing
berths 1 9 berth
berthed 1 6 berth
berthing 3 10 berth

betroth 1 1 betroths betrothed betrothing
betroths 1 9 betroth
betrothed 1 6 betroth
betrothing 3 10 betroth

birth 1 1 births birthed birthing
births 1 9 birth
birthed 1 6 birth
birthing 3 10 birth

calligraph 1 1 calligraphs calligraphed calligraphing
calligraphs 1 9 calligraph
calligraphed 1 6 calligraph
calligraphing 3 10 calligraph

catch 1 1 catches caught catching
catches 1 9 catch
caught 1 6 catch
catching 3 10 catch

choreograph 1 1 choreographs choreographed choreographing
choreographs 1 9 choreograph
choreographed 1 6 choreograph
choreographing 3 10 choreograph

cough 1 1 coughs coughed coughing
coughs 1 9 cough
coughed 1 6 cough
coughing 3 10 cough

earth 1 1 earths earthed earthing
earths 1 9 earth
earthed 1 6 earth
earthing 3 10 earth

froth 1 1 froths frothed frothing
froths 1 9 froth
frothed 1 6 froth
frothing 3 10 froth

furlough 1 1 furloughs furloughed furloughing
furloughs 1 9 furlough
furloughed 1 6 furlough
furloughing 3 10 furlough

girth 1 1 girths girthed girthing
girths 1 9 girth
girthed 1 6 girth
girthing 3 10 girth

graph 1 1 graphs graphed graphing
graphs 1 9 graph
graphed 1 6  graph
graphing 3 10 graph

hectograph 1 1 hectographs hectographed hectographing
hectographs 1 9 hectograph
hectographed 1 6 hectograph
hectographing 3 10 hectograph

heliograph 1 1 heliographs heliographed heliographing
heliographs 1 9 heliograph
heliographed 1 6 heliograph
heliographing 3 10 heliograph

hiccough 1 1 hiccoughs hiccoughed hiccoughing
hiccoughs 1 9 hiccough
hiccoughed 1 6 hiccough
hiccoughing 3 10 hiccough

hunch 1 1 hunches hunchs hunched hunching
hunches 1 9 hunch
hunchs 1 9 hunch
hunched 1 6 hunch
hunching 3 10 hunch

laugh 1 1 laughs laughed laughing
laughs 1 9 laugh
laughed 1 6 laugh
laughing 3 10 laugh

lithograph 1 1 lithographs lithographed lithographing
lithographs 1 9 lithograph
lithographed 1 6 lithograph
lithographing 3 10 lithograph

mimeograph 1 1 mimeographs mimeographed mimeographing
mimeographs 1 9 mimeograph
mimeographed 1 6 mimeograph
mimeographing 3 10 mimeograph

mouth 1 1 mouths mouthed mouthing
mouths 1 9 mouth
mouthed 1 6 mouth
mouthing 3 10 mouth

neigh 1 1 neighs neighed neighing
neighs 1 9 neigh
neighed 1 6 neigh
neighing 3 10 neigh

paragraph 1 1 paragraphs paragraphed paragraphing
paragraphs 1 9 paragraph
paragraphed 1 6 paragraph
paragraphing 3 10 paragraph

photograph 1 1 photographs photographed photographing
photographs 1 9 photograph
photographed 1 6 photograph
photographing 3 10 photograph

pith 1 1 piths pithed pithing
piths 1 9 pith
pithed 1 6 pith
pithing 3 10 pith

plough 1 1 ploughs ploughed ploughing
ploughs 1 9 plough
ploughed 1 6 plough
ploughing 3 10 plough

sigh 1 1 sighs sighed sighing
sighs 1 9 sigh
sighed 1 6 sigh
sighing 3 10 sigh

sleigh 1 1 sleighs sleighed sleighing
sleighs 1 9 sleigh
sleighed 1 6 sleigh
sleighing 3 10 sleigh

sleuth 1 1 sleuths sleuthed sleuthing
sleuths 1 9 sleuth
sleuthed 1 6 sleuth
sleuthing 3 10 sleuth

slough 1 1 sloughs sloughed sloughing
sloughs 1 9 slough
sloughed 1 6 slough
sloughing 3 10 slough

smooth 1 1 smooths smoothes smoothed smoothing
smooths 1 9 smooth
smoothes 1 9 smooth
smoothed 1 6 smooth
smoothing 3 10 smooth

snatch 1 1 snatches snatched snaught snatching
snatches 1 9 snatch
snatched 1 6 snatch
snaught 1 6 snatch
snatching 3 10 snatch

stomach 1 1 stomachs stomached stomaching
stomachs 1 9 stomach
stomached 1 6 stomach
stomaching 3 10  stomach

teach 1 1 teaches taught teaching
teaches 1 9 teach
taught 1 6 teach
teaching 3 10 teach

telegraph 1 1 telegraphs telegraphed telegraphing
telegraphs 1 9 telegraph
telegraphed 1 6 telegraph
telegraphing 3 10 telegraph

triumph 1 1 triumphs triumphed triumphing
triumphs 1 9 triumph
triumphed 1 6 triumph
triumphing 3 10 triumph

weigh 1 1 weighs weighed weighing
weighs 1 9 weigh
weighed 1 6 weigh
weighing 3 10 weigh

#
# Word ending to "I"
#

alibi 1 1 alibies alibied alibiing
alibies 1 9 alibi
alibied 1 6 alibi
alibiing 3 10 alibi

hibachi 1 1 hibachis hibachied hibachiing
hibachis 1 9 hibachi
hibachied 1 6 hibachi
hibachiing 3 10 hibachi

shanghai 1 1 shanghais shanghaied shanghaiing
shanghais 1 9 shanghai
shanghaied 1 6 shanghai
shanghaiing 3 10 shanghai

ski 1 1 skis skies skied skiing
skis 1 9 ski
skies 1 9 ski
skied 1 6 ski
skiing 3 10 ski

taxi 1 1 taxis taxies taxied taxiing taxying
taxis 1 9 taxi
taxies 1 9 taxi
taxied 1 6 taxi
taxiing 3 10 taxi
taxying 3 10 taxi

#
# Word ending to "J"
#

DJ 1 1 DJs DJed DJing
DJs 1 9 DJ
DJed 1 6 DJ
DJing 3 10 DJ

#
# Word ending to "K"
#  -ed
#  -s
#  -ing
#

ask 1 1
asterisk 1 1
attack 1 1
back 1 1
backpack 1 1
balk 1 1
bank 1 1
bark 1 1
barrack 1 1
batik 1 1
baulk 1 1
beak 1 1
black 1 1
block 1 1
book 1 1
bootlick 1 1
bottleneck 1 1
buck 1 1
bulwark 1 1
bunk 1 1
bushwhack 1 1
cakewalk 1 1
calk 1 1
carjack 1 1
chalk 1 1
check 1 1
cheek 1 1
chink 1 1
chock 1 1
chunk 1 1
clack 1 1
clank 1 1
clerk 1 1
click 1 1
clink 1 1
cloak 1 1
clock 1 1
cluck 1 1
clunk 1 1
cock 1 1
conk 1 1
cook 1 1
cork 1 1
counterattack 1 1
crack 1 1
crank 1 1
creak 1 1
crick 1 1
croak 1 1
crock 1 1
crook 1 1
cross-link 1 1
debark 1 1
debunk 1 1
disembark 1 1
dock 1 1
double-check 1 1
drop-kick 1 1
dropkick 1 1
duck 1 1
dunk 1 1
earmark 1 1
embank 1 1
embark 1 1
fink 1 1
flank 1 1
fleck 1 1
flick 1 1
flock 1 1
fork 1 1
frisk 1 1
frock 1 1
fullback 1 1
goldbrick 1 1
hack 1 1
hawk 1 1
highjack 1 1
hijack 1 1
hock 1 1
honk 1 1
hook 1 1
hulk 1 1
husk 1 1
ink 1 1
interlock 1 1
jack 1 1
jaywalk 1 1
jerk 1 1
junk 1 1
kayak 1 1
kick 1 1
kink 1 1
knock 1 1
lack 1 1
lark 1 1
leak 1 1
lick 1 1
link 1 1
lipstick 1 1
lock 1 1
look 1 1
lurk 1 1
mark 1 1
mask 1 1
milk 1 1
mock 1 1
muck 1 1
murk 1 1
nark 1 1
neck 1 1
network 1 1
nick 1 1
nitpick 1 1
overlook 1 1
overstock 1 1
pack 1 1
padlock 1 1
park 1 1
peak 1 1
peck 1 1
peek 1 1
pick 1 1
pitchfork 1 1
place-kick 1 1
plank 1 1
plonk 1 1
pluck 1 1
plunk 1 1
pock 1 1
postmark 1 1
prick 1 1
quack 1 1
quarterback 1 1
rack 1 1
rank 1 1
ransack 1 1
remark 1 1
rick 1 1
risk 1 1
rock 1 1
rubberneck 1 1
ruck 1 1
scrimshank 1 1
shack 1 1
shank 1 1
shark 1 1
shipwreck 1 1
shirk 1 1
shock 1 1
shriek 1 1
shuck 1 1
shuttlecock 1 1
sick 1 1
skank 1 1
skulk 1 1
skunk 1 1
slack 1 1
slam-dunk 1 1
sleepwalk 1 1
slick 1 1
smack 1 1
smirk 1 1
smock 1 1
snack 1 1
snick 1 1
soak 1 1
spacewalk 1 1
spank 1 1
spark 1 1
spatchcock 1 1
speck 1 1
spelunk 1 1
spook 1 1
spot-check 1 1
